(matchnum, 44), (teamnum, 840), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 3), (driverrating, 8), (manueverrating, 8), (defensiverating, 4), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 45), (teamnum, 3354), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 2), (manueverrating, 4), (defensiverating, 2), (offensiverating, 2), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 46), (teamnum, 2473), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 2), (driverrating, 2), (manueverrating, 2), (defensiverating, 1), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 47), (teamnum, 581), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 16), (defensiverating, 1), (offensiverating, 8), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 48), (teamnum, 114), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 2), (defensiverating, 1), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 49), (teamnum, 4086), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 2), (manueverrating, 2), (defensiverating, 1), (offensiverating, 4), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 50), (teamnum, 1700), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 0), (driverrating, 4), (manueverrating, 4), (defensiverating, 1), (offensiverating, 4), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 51), (teamnum, 1072), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 64), (manueverrating, 4), (defensiverating, 1), (offensiverating, 64), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 52), (teamnum, 3354), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 1), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 1), (offensiverating, 1), (range, 2), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 53), (teamnum, 852), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 64), (manueverrating, 32), (defensiverating, 1), (offensiverating, 16), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 5), (redcard, 0), 
(matchnum, 54), (teamnum, 2073), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 1), (misses, 1), (driverrating, 64), (manueverrating, 64), (defensiverating, 1), (offensiverating, 32), (range, 3), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 55), (teamnum, 2854), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 32), (manueverrating, 64), (defensiverating, 1), (offensiverating, 32), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 1), (telescoretop, 1), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 56), (teamnum, 2813), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 57), (teamnum, 675), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 64), (manueverrating, 16), (defensiverating, 1), (offensiverating, 128), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 1), (penalty, 0), (bridge, -1), (redcard, 0), 
(matchnum, 58), (teamnum, 115), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 64), (manueverrating, 32), (defensiverating, 1), (offensiverating, 16), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 2), (telescoretop, 2), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 59), (teamnum, 3482), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 128), (manueverrating, 64), (defensiverating, 8), (offensiverating, 1), (range, 1), (robottype, 3), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 60), (teamnum, 971), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 128), (manueverrating, 256), (defensiverating, 64), (offensiverating, 128), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 61), (teamnum, 1072), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 62), (teamnum, 100), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 2), (driverrating, 16), (manueverrating, 16), (defensiverating, 16), (offensiverating, 32), (range, 4), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 63), (teamnum, 581), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 64), (teamnum, 2367), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 65), (teamnum, 1280), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 1), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 0), (driverrating, 128), (manueverrating, 64), (defensiverating, 8), (offensiverating, 32), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 1), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 1), 
(matchnum, 66), (teamnum, 1700), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 2), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 67), (teamnum, 192), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 1), (misses, 4), (driverrating, 16), (manueverrating, 8), (defensiverating, 8), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 68), (teamnum, 2813), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 1), (driverrating, 4), (manueverrating, 8), (defensiverating, 4), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 69), (teamnum, 2135), (autodisabled, 0), (kinect, 0), (autoscorebot, 1), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 2), (driverrating, 8), (manueverrating, 16), (defensiverating, 8), (offensiverating, 8), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 1), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
