(matchnum, 47), (teamnum, 2854), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 16), (manueverrating, 16), (defensiverating, 16), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 48), (teamnum, 1072), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 0), (misses, 0), (driverrating, 8), (manueverrating, 8), (defensiverating, 16), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 49), (teamnum, 3045), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 50), (teamnum, 2551), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 51), (teamnum, 1280), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 1), (misses, 0), (driverrating, 4), (manueverrating, 2), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 52), (teamnum, 1072), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 4), (driverrating, 4), (manueverrating, 2), (defensiverating, 1), (offensiverating, 2), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 53), (teamnum, 3250), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 2), (manueverrating, 2), (defensiverating, 2), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 2), (bridge, 1), (redcard, 0), 
(matchnum, 54), (teamnum, 3859), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 55), (teamnum, 1671), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 0), (driverrating, 16), (manueverrating, 32), (defensiverating, 4), (offensiverating, 128), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 6), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 56), (teamnum, 1678), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 0), (driverrating, 8), (manueverrating, 4), (defensiverating, 2), (offensiverating, 4), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 4), (redcard, 0), 
(matchnum, 57), (teamnum, 3615), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 1), (startposition, 0), (misses, 0), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 0), (robottype, 0), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 58), (teamnum, 115), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 2), (driverrating, 0), (manueverrating, 0), (defensiverating, 0), (offensiverating, 0), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 2), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 59), (teamnum, 1323), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 3), (driverrating, 16), (manueverrating, 8), (defensiverating, 0), (offensiverating, 64), (range, 2), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 60), (teamnum, 3505), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 0), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 61), (teamnum, 3615), (autodisabled, 1), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 62), (teamnum, 1678), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 1), (driverrating, 16), (manueverrating, 16), (defensiverating, 2), (offensiverating, 32), (range, 4), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 6), (penalty, 0), (bridge, 3), (redcard, 0), 
(matchnum, 63), (teamnum, 3598), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 2), (autoscoretop, 0), (active, 0), (startposition, 1), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 1), (range, 1), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 2), (redcard, 0), 
(matchnum, 64), (teamnum, 295), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 0), (active, 0), (startposition, 2), (misses, 1), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 2), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 1), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 65), (teamnum, 840), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 1), (active, 0), (startposition, 2), (misses, 0), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 2), (range, 3), (robottype, 1), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
(matchnum, 66), (teamnum, 3256), (autodisabled, 0), (kinect, 0), (autoscorebot, 0), (autoscoremid, 0), (autoscoretop, 2), (active, 0), (startposition, 2), (misses, 1), (driverrating, 1), (manueverrating, 1), (defensiverating, 1), (offensiverating, 2), (range, 3), (robottype, 2), (telescorebot, 0), (telescoremid, 0), (telescoretop, 0), (penalty, 0), (bridge, 1), (redcard, 0), 
